time,value
1.861855,8035.862068965517
1.871865,8177.471264367816
1.881875,8083.6781609195405
1.891885,8025.747126436781
1.901895,8105.747126436781
1.911905,8002.758620689655
1.921918,8181.149425287356
1.931928,8068.045977011494
1.941938,8091.0344827586205
1.952258,8063.448275862069
1.962258,7998.16091954023
1.972258,8042.298850574713
1.982258,7922.758620689655
1.992258,8046.896551724138
2.002258,8038.620689655172
2.012258,8210.574712643678
2.022258,7963.218390804597
2.032258,8126.896551724138
2.042258,7954.022988505747
2.052258,7953.103448275862
2.062258,8040.459770114942
2.072258,8075.402298850575
2.082258,7970.574712643678
2.092258,7954.942528735632
2.102258,7968.735632183908
2.112258,8076.3218390804595
2.122258,8108.505747126436
2.132258,8065.287356321839
2.142258,8002.758620689655
2.152258,8010.114942528736
2.162258,8030.3448275862065
2.172258,7985.287356321839
2.182258,8080.919540229885
2.192258,8142.528735632184
2.202258,8105.747126436781
2.212258,8083.6781609195405
2.222258,7954.022988505747
2.232258,8067.126436781609
2.242258,8084.597701149425
2.252264,8222.528735632184
2.262265,8086.436781609195
2.272265,8061.609195402299
2.28228,7898.850574712644
2.292288,8057.931034482758
2.302295,8120.459770114942
2.312305,8108.505747126436
2.322315,8065.287356321839
2.332325,8007.35632183908
2.342335,7994.482758620689
2.352345,7967.816091954023
2.362355,8109.425287356322
2.372365,8174.712643678161
2.382375,8029.425287356322
2.392385,7975.172413793103
2.402395,8017.471264367816
2.412405,8010.114942528736
2.422415,8112.183908045977
2.432425,8029.425287356322
2.442435,7977.0114942528735
2.452445,7973.333333333333
2.462454,8182.9885057471265
2.472464,8152.643678160919
2.482474,7996.3218390804595
2.492484,7965.057471264367
2.502494,7997.241379310345
2.512504,8134.252873563219
2.522514,7962.298850574713
2.532524,8045.977011494253
2.542534,7939.310344827586
2.552544,8204.137931034482
2.562554,8063.448275862069
2.572564,8085.51724137931
2.582574,7996.3218390804595
2.592584,7982.528735632184
2.602594,7996.3218390804595
2.612604,8100.229885057471
2.622614,8065.287356321839
2.632624,8059.770114942528
2.642634,7933.793103448275
2.652644,7991.724137931034
2.662654,8023.908045977011
2.672664,7924.597701149425
2.682674,7967.816091954023
2.692684,8102.9885057471265
2.702694,8026.666666666667
2.712704,7975.172413793103
2.722714,7994.482758620689
2.732724,8104.827586206897
2.742734,7928.275862068966
2.752744,8205.057471264368
2.762754,8031.264367816092
2.772764,7995.402298850575
2.782774,8006.436781609195
2.792784,8054.252873563219
2.802794,7961.379310344828
2.812804,8030.3448275862065
2.822814,8016.551724137931
2.832824,8021.149425287356
2.842834,8054.252873563219
2.853325,8038.620689655172
2.8633,7953.103448275862
2.8733,8105.747126436781
2.8833,7958.620689655172
2.8933,7959.540229885058
2.9033,8063.448275862069
2.9133,7964.137931034483
2.923302,8020.229885057471
2.933302,7957.701149425287
2.9433,8008.275862068966
2.953325,7995.402298850575
2.9633,8217.011494252873
2.973456,8037.701149425287
2.9833,8024.827586206897
2.9933,7919.080459770114
3.00331,8038.620689655172
3.01331,8210.574712643678
3.02331,7963.218390804597
3.03331,8126.896551724138
3.04331,7954.022988505747
3.05331,7953.103448275862
3.06331,8040.459770114942
3.07331,8075.402298850575
3.08331,7970.574712643678
3.0933100000000002,7954.942528735632
3.10331,7968.735632183908
3.1133100000000002,8076.3218390804595
3.12331,8108.505747126436
3.1333100000000003,8065.287356321839
3.14331,8002.758620689655
3.15331,8010.114942528736
3.16331,8030.3448275862065
3.17331,7985.287356321839
3.18331,8080.919540229885
3.19331,8142.528735632184
3.20331,8105.747126436781
3.21331,8083.6781609195405
3.22331,7954.022988505747
3.23331,8067.126436781609
3.24331,8084.597701149425
3.253316,8222.528735632184
3.2633170000000002,8086.436781609195
3.273317,8061.609195402299
3.283332,7898.850574712644
3.29334,8057.931034482758
3.303347,8120.459770114942
3.313357,8108.505747126436
3.323367,8065.287356321839
3.333377,8007.35632183908
3.343387,7994.482758620689
3.353397,7967.816091954023
3.363407,8109.425287356322
3.373417,8174.712643678161
3.383427,8029.425287356322
3.393437,7975.172413793103
3.403447,8017.471264367816
3.413457,8010.114942528736
3.423467,8112.183908045977
3.433477,8029.425287356322
3.443487,7977.0114942528735
3.453497,7973.333333333333
3.463506,8182.9885057471265
3.473516,8152.643678160919
3.483526,7996.3218390804595
3.493536,7965.057471264367
3.503546,7997.241379310345
3.513556,8134.252873563219
3.523566,7962.298850574713
3.533576,8045.977011494253
3.543586,7939.310344827586
3.553596,8204.137931034482
3.563606,8063.448275862069
3.573616,8085.51724137931
3.583626,7996.3218390804595
3.593636,7982.528735632184
3.603646,7996.3218390804595
3.613656,8100.229885057471
3.623666,8065.287356321839
3.633676,8059.770114942528
3.643686,7933.793103448275
3.653696,7991.724137931034
3.663706,8023.908045977011
3.673716,7924.597701149425
3.683726,7967.816091954023
3.693736,8102.9885057471265
3.703746,8026.666666666667
3.713756,7975.172413793103
3.723766,7994.482758620689
3.733776,8104.827586206897
3.743786,7928.275862068966
3.753796,8205.057471264368
3.763806,8031.264367816092
3.773816,7995.402298850575
3.783826,8006.436781609195
3.793836,8054.252873563219
3.803846,7961.379310344828
3.813856,8030.3448275862065
3.823866,8016.551724137931
3.833876,8021.149425287356
3.843886,8054.252873563219
3.854377,8038.620689655172
3.8643520000000002,7953.103448275862
3.874352,8105.747126436781
3.8843520000000002,7958.620689655172
3.894352,7959.540229885058
3.9043520000000003,8063.448275862069
3.914352,7964.137931034483
3.924354,8020.229885057471
3.934354,7957.701149425287
3.944352,8008.275862068966
3.954377,7995.402298850575
3.964352,8217.011494252873
3.974508,8037.701149425287
3.984352,8024.827586206897
3.994352,7919.080459770114
4.004362,8038.620689655172
4.014362,8210.574712643678
4.024362,7963.218390804597
4.034362000000001,8126.896551724138
4.0443620000000005,7954.022988505747
4.054362000000001,7953.103448275862
4.064362000000001,8040.459770114942
4.074362000000001,8075.402298850575
4.0843620000000005,7970.574712643678
4.094362,7954.942528735632
4.104362,7968.735632183908
4.114362000000001,8076.3218390804595
4.1243620000000005,8108.505747126436
4.134362000000001,8065.287356321839
4.144362000000001,8002.758620689655
4.154362000000001,8010.114942528736
4.164362000000001,8030.3448275862065
4.174362,7985.287356321839
4.184362,8080.919540229885
4.194362,8142.528735632184
4.204362000000001,8105.747126436781
4.214362,8083.6781609195405
4.224362000000001,7954.022988505747
4.234362000000001,8067.126436781609
4.244362000000001,8084.597701149425
4.254368,8222.528735632184
4.264369,8086.436781609195
4.274369,8061.609195402299
4.284384000000001,7898.850574712644
4.294392,8057.931034482758
4.304399,8120.459770114942
4.314409,8108.505747126436
4.324419000000001,8065.287356321839
4.334429,8007.35632183908
4.344439,7994.482758620689
4.354449000000001,7967.816091954023
4.364459,8109.425287356322
4.374469,8174.712643678161
4.384479000000001,8029.425287356322
4.394489,7975.172413793103
4.404499,8017.471264367816
4.414509000000001,8010.114942528736
4.424519,8112.183908045977
4.434529,8029.425287356322
4.444539000000001,7977.0114942528735
4.454549,7973.333333333333
4.464558,8182.9885057471265
4.4745680000000005,8152.643678160919
4.484578000000001,7996.3218390804595
4.494588,7965.057471264367
4.5045980000000005,7997.241379310345
4.514608000000001,8134.252873563219
4.524618,7962.298850574713
4.5346280000000005,8045.977011494253
4.544638000000001,7939.310344827586
4.554648,8204.137931034482
4.5646580000000005,8063.448275862069
